RED DE DISTRIBUCIÓN ELÉCTRICA – SIMULACIÓN DIJKSTRA
Nodo origen: Zaragoza
Energía inicial: 1000.0 MWh
Pérdida energética: 4.0% por cada 100 km
Línea en fallo simulado: Albacete → Jaen (215 km)

Provincia,Dist. normal (km),Energía normal (MWh),Coste línea (€),Saltos normal,Ruta normal,Dist. fallo (km),Energía fallo (MWh),Saltos fallo,Ruta fallo,Δ Distancia (km),Δ Energía (MWh),Estado tras fallo
A_Coruna,656,737.6,"328,000,000",5,Zaragoza → Soria → Burgos → Leon → Lugo → A_Coruna,656,737.6,5,Zaragoza → Soria → Burgos → Leon → Lugo → A_Coruna,0,0.0,Sin cambios
Albacete,361,855.6,"180,500,000",3,Zaragoza → Teruel → Cuenca → Albacete,361,855.6,3,Zaragoza → Teruel → Cuenca → Albacete,0,0.0,Sin cambios
Alicante,387,845.2,"193,500,000",3,Zaragoza → Teruel → Valencia → Alicante,387,845.2,3,Zaragoza → Teruel → Valencia → Alicante,0,0.0,Sin cambios
Almeria,630,748.0,"315,000,000",5,Zaragoza → Teruel → Valencia → Alicante → Murcia → Almeria,630,748.0,5,Zaragoza → Teruel → Valencia → Alicante → Murcia → Almeria,0,0.0,Sin cambios
Avila,355,858.0,"177,500,000",3,Zaragoza → Soria → Segovia → Avila,355,858.0,3,Zaragoza → Soria → Segovia → Avila,0,0.0,Sin cambios
Badajoz,629,748.4,"314,500,000",5,Zaragoza → Guadalajara → Madrid → Toledo → Caceres → Badajoz,629,748.4,5,Zaragoza → Guadalajara → Madrid → Toledo → Caceres → Badajoz,0,0.0,Sin cambios
Barcelona,256,897.6,"128,000,000",2,Zaragoza → Lleida → Barcelona,256,897.6,2,Zaragoza → Lleida → Barcelona,0,0.0,Sin cambios
Bilbao,255,898.0,"127,500,000",3,Zaragoza → Logrono → Vitoria → Bilbao,255,898.0,3,Zaragoza → Logrono → Vitoria → Bilbao,0,0.0,Sin cambios
Burgos,251,899.6,"125,500,000",2,Zaragoza → Soria → Burgos,251,899.6,2,Zaragoza → Soria → Burgos,0,0.0,Sin cambios
Caceres,545,782.0,"272,500,000",4,Zaragoza → Guadalajara → Madrid → Toledo → Caceres,545,782.0,4,Zaragoza → Guadalajara → Madrid → Toledo → Caceres,0,0.0,Sin cambios
Cadiz,801,679.6,"400,500,000",7,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real → Cordoba → Sevilla → Cadiz,801,679.6,7,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real → Cordoba → Sevilla → Cadiz,0,0.0,Sin cambios
Castellon,244,902.4,"122,000,000",2,Zaragoza → Teruel → Castellon,244,902.4,2,Zaragoza → Teruel → Castellon,0,0.0,Sin cambios
Ciudad_Real,438,824.8,"219,000,000",4,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real,438,824.8,4,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real,0,0.0,Sin cambios
Cordoba,581,767.6,"290,500,000",5,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real → Cordoba,581,767.6,5,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real → Cordoba,0,0.0,Sin cambios
Cuenca,239,904.4,"119,500,000",2,Zaragoza → Teruel → Cuenca,239,904.4,2,Zaragoza → Teruel → Cuenca,0,0.0,Sin cambios
Girona,312,875.2,"156,000,000",2,Zaragoza → Lleida → Girona,312,875.2,2,Zaragoza → Lleida → Girona,0,0.0,Sin cambios
Granada,645,742.0,"322,500,000",5,Zaragoza → Teruel → Cuenca → Albacete → Jaen → Granada,738,704.8,6,Zaragoza → Teruel → Valencia → Alicante → Murcia → Almeria → Granada,93,37.2,Sin cambios
Guadalajara,222,911.2,"111,000,000",1,Zaragoza → Guadalajara,222,911.2,1,Zaragoza → Guadalajara,0,0.0,Sin cambios
Huelva,787,685.2,"393,500,000",7,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real → Cordoba → Sevilla → Huelva,787,685.2,7,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real → Cordoba → Sevilla → Huelva,0,0.0,Sin cambios
Huesca,68,972.8,"34,000,000",1,Zaragoza → Huesca,68,972.8,1,Zaragoza → Huesca,0,0.0,Sin cambios
Jaen,576,769.6,"288,000,000",4,Zaragoza → Teruel → Cuenca → Albacete → Jaen,669,732.4,6,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real → Cordoba → Jaen,93,37.2,Sin cambios
Leon,407,837.2,"203,500,000",3,Zaragoza → Soria → Burgos → Leon,407,837.2,3,Zaragoza → Soria → Burgos → Leon,0,0.0,Sin cambios
Lleida,125,950.0,"62,500,000",1,Zaragoza → Lleida,125,950.0,1,Zaragoza → Lleida,0,0.0,Sin cambios
Logrono,157,937.2,"78,500,000",1,Zaragoza → Logrono,157,937.2,1,Zaragoza → Logrono,0,0.0,Sin cambios
Lugo,576,769.6,"288,000,000",4,Zaragoza → Soria → Burgos → Leon → Lugo,576,769.6,4,Zaragoza → Soria → Burgos → Leon → Lugo,0,0.0,Sin cambios
Madrid,273,890.8,"136,500,000",2,Zaragoza → Guadalajara → Madrid,273,890.8,2,Zaragoza → Guadalajara → Madrid,0,0.0,Sin cambios
Malaga,715,714.0,"357,500,000",6,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real → Cordoba → Malaga,715,714.0,6,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real → Cordoba → Malaga,0,0.0,Sin cambios
Murcia,456,817.6,"228,000,000",4,Zaragoza → Teruel → Valencia → Alicante → Murcia,456,817.6,4,Zaragoza → Teruel → Valencia → Alicante → Murcia,0,0.0,Sin cambios
Ourense,598,760.8,"299,000,000",4,Zaragoza → Soria → Burgos → Leon → Ourense,598,760.8,4,Zaragoza → Soria → Burgos → Leon → Ourense,0,0.0,Sin cambios
Oviedo,495,802.0,"247,500,000",5,Zaragoza → Logrono → Vitoria → Bilbao → Santander → Oviedo,495,802.0,5,Zaragoza → Logrono → Vitoria → Bilbao → Santander → Oviedo,0,0.0,Sin cambios
Palencia,329,868.4,"164,500,000",3,Zaragoza → Soria → Burgos → Palencia,329,868.4,3,Zaragoza → Soria → Burgos → Palencia,0,0.0,Sin cambios
Pamplona,144,942.4,"72,000,000",1,Zaragoza → Pamplona,144,942.4,1,Zaragoza → Pamplona,0,0.0,Sin cambios
Pontevedra,663,734.8,"331,500,000",5,Zaragoza → Soria → Burgos → Leon → Ourense → Pontevedra,663,734.8,5,Zaragoza → Soria → Burgos → Leon → Ourense → Pontevedra,0,0.0,Sin cambios
Salamanca,443,822.8,"221,500,000",4,Zaragoza → Soria → Segovia → Avila → Salamanca,443,822.8,4,Zaragoza → Soria → Segovia → Avila → Salamanca,0,0.0,Sin cambios
San_Sebastian,206,917.6,"103,000,000",1,Zaragoza → San_Sebastian,206,917.6,1,Zaragoza → San_Sebastian,0,0.0,Sin cambios
Santander,329,868.4,"164,500,000",4,Zaragoza → Logrono → Vitoria → Bilbao → Santander,329,868.4,4,Zaragoza → Logrono → Vitoria → Bilbao → Santander,0,0.0,Sin cambios
Segovia,296,881.6,"148,000,000",2,Zaragoza → Soria → Segovia,296,881.6,2,Zaragoza → Soria → Segovia,0,0.0,Sin cambios
Sevilla,701,719.6,"350,500,000",6,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real → Cordoba → Sevilla,701,719.6,6,Zaragoza → Guadalajara → Madrid → Toledo → Ciudad_Real → Cordoba → Sevilla,0,0.0,Sin cambios
Soria,131,947.6,"65,500,000",1,Zaragoza → Soria,131,947.6,1,Zaragoza → Soria,0,0.0,Sin cambios
Tarragona,187,925.2,"93,500,000",1,Zaragoza → Tarragona,187,925.2,1,Zaragoza → Tarragona,0,0.0,Sin cambios
Teruel,146,941.6,"73,000,000",1,Zaragoza → Teruel,146,941.6,1,Zaragoza → Teruel,0,0.0,Sin cambios
Toledo,340,864.0,"170,000,000",3,Zaragoza → Guadalajara → Madrid → Toledo,340,864.0,3,Zaragoza → Guadalajara → Madrid → Toledo,0,0.0,Sin cambios
Valencia,262,895.2,"131,000,000",2,Zaragoza → Teruel → Valencia,262,895.2,2,Zaragoza → Teruel → Valencia,0,0.0,Sin cambios
Valladolid,366,853.6,"183,000,000",3,Zaragoza → Soria → Burgos → Valladolid,366,853.6,3,Zaragoza → Soria → Burgos → Valladolid,0,0.0,Sin cambios
Vitoria,204,918.4,"102,000,000",2,Zaragoza → Logrono → Vitoria,204,918.4,2,Zaragoza → Logrono → Vitoria,0,0.0,Sin cambios
Zamora,452,819.2,"226,000,000",4,Zaragoza → Soria → Burgos → Valladolid → Zamora,452,819.2,4,Zaragoza → Soria → Burgos → Valladolid → Zamora,0,0.0,Sin cambios
